Section	Q.No	Question	Type	Options	Risk Weight	Risk Description
Before Marriage	1	What are your top 3 life priorities?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	2	How do you react when someone disagrees with you?	MCQ	Calm discussion;Avoid;Argue;Get defensive	Low	Mismatch has minor or manageable impact
Before Marriage	3	Which financial habit best describes you?	MCQ	Saver;Balanced;Spender;No planning	Medium	Mismatch may create recurring friction
Before Marriage	4	Select what matters most in a partner	MSQ	Respect;Loyalty;Attraction;Status;Money	Low	Mismatch has minor or manageable impact
Before Marriage	5	How do you handle stress?	MCQ	Talk;Withdraw;Work harder;Get irritated	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	6	What are your non-negotiables in a relationship?	One-line		Medium	Mismatch may create recurring friction
Before Marriage	7	Do you prefer joint or nuclear family?	MCQ	Joint;Nuclear;Flexible;Undecided	Low	Mismatch has minor or manageable impact
Before Marriage	8	How important is religion in daily life?	MCQ	Very;Moderate;Low;None	Low	Mismatch has minor or manageable impact
Before Marriage	9	How do you show love?	MSQ	Words;Time;Gifts;Support;Physical	Medium	Mismatch may create recurring friction
Before Marriage	10	How do you handle failure?	MCQ	Reflect;Blame;Ignore;Overthink	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	11	What does respect mean to you?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	12	How often do you expect communication?	MCQ	Constant;Daily;Occasional;Minimal	Medium	Mismatch may create recurring friction
Before Marriage	13	Do you discuss money openly?	MCQ	Yes;Sometimes;Rarely;No	Low	Mismatch has minor or manageable impact
Before Marriage	14	What are your career goals?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	15	How do you react to criticism?	MCQ	Accept;Defend;Ignore;Attack	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	16	Select your conflict style	MSQ	Avoid;Discuss;Fight;Delay	Low	Mismatch has minor or manageable impact
Before Marriage	17	How important is personal space?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
Before Marriage	18	What habits might annoy a partner?	One-line		Medium	Mismatch may create recurring friction
Before Marriage	19	How do you define loyalty?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	20	Do you expect partner to change after marriage?	MCQ	Yes;No;Maybe;Depends	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	21	How do you handle anger?	MCQ	Control;Express;Suppress;Explode	Medium	Mismatch may create recurring friction
Before Marriage	22	What role should parents play?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
Before Marriage	23	Select deal breakers	MSQ	Dishonesty;Addiction;Disrespect;Control	Low	Mismatch has minor or manageable impact
Before Marriage	24	How do you spend free time?	One-line		Medium	Mismatch may create recurring friction
Before Marriage	25	Do you prioritize career or family?	MCQ	Career;Family;Balance;Unsure	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	26	How do you make decisions?	MCQ	Logical;Emotional;Mixed;Impulsive	Low	Mismatch has minor or manageable impact
Before Marriage	27	How important is social life?	MCQ	High;Medium;Low;None	Medium	Mismatch may create recurring friction
Before Marriage	28	Do you believe in gender roles?	MCQ	Strongly;Moderate;Low;None	Low	Mismatch has minor or manageable impact
Before Marriage	29	How do you express frustration?	MCQ	Talk;Silent;Anger;Ignore	Low	Mismatch has minor or manageable impact
Before Marriage	30	What is your biggest fear in marriage?	One-line		High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	31	Do you forgive easily?	MCQ	Yes;Sometimes;Rarely;No	Low	Mismatch has minor or manageable impact
Before Marriage	32	How do you handle jealousy?	MCQ	Communicate;Ignore;React;Control	Low	Mismatch has minor or manageable impact
Before Marriage	33	Select important life goals	MSQ	Wealth;Family;Travel;Growth	Medium	Mismatch may create recurring friction
Before Marriage	34	Do you value independence?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
Before Marriage	35	How do you respond to pressure?	MCQ	Calm;Stress;Avoid;Aggressive	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	36	What does commitment mean?	One-line		Medium	Mismatch may create recurring friction
Before Marriage	37	Do you plan finances?	MCQ	Yes;Sometimes;Rarely;No	Low	Mismatch has minor or manageable impact
Before Marriage	38	How do you manage time?	MCQ	Structured;Flexible;Chaotic;Random	Low	Mismatch has minor or manageable impact
Before Marriage	39	Select stress triggers	MSQ	Money;Work;Family;Expectations	Medium	Mismatch may create recurring friction
Before Marriage	40	How do you support partner?	One-line		High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	41	Do you believe love is enough?	MCQ	Yes;No;Maybe;Depends	Low	Mismatch has minor or manageable impact
Before Marriage	42	How do you react to partner’s success?	MCQ	Happy;Neutral;Jealous;Competitive	Medium	Mismatch may create recurring friction
Before Marriage	43	What does trust mean to you?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	44	Do you handle conflicts immediately?	MCQ	Yes;Later;Avoid;Depends	Low	Mismatch has minor or manageable impact
Before Marriage	45	How important is honesty?	MCQ	Very;Medium;Low;None	High	Critical mismatch can cause long-term conflict or breakup
Before Marriage	46	What expectations do you have?	One-line		Low	Mismatch has minor or manageable impact
Before Marriage	47	Do you adapt easily?	MCQ	Yes;Sometimes;Rarely;No	Low	Mismatch has minor or manageable impact
Before Marriage	48	How do you deal with change?	MCQ	Accept;Resist;Fear;Ignore	Medium	Mismatch may create recurring friction
Before Marriage	49	Select emotional needs	MSQ	Support;Validation;Space;Attention	Low	Mismatch has minor or manageable impact
Before Marriage	50	What is your vision of marriage?	One-line		High	Critical mismatch can cause long-term conflict or breakup


After Marriage	1	Do you feel heard by your partner?	MCQ	Always;Often;Sometimes;Never	Low	Mismatch has minor or manageable impact
After Marriage	2	How often do conflicts repeat?	MCQ	Never;Rarely;Often;Always	Low	Mismatch has minor or manageable impact
After Marriage	3	Do you feel emotionally connected?	MCQ	Strong;Moderate;Weak;None	Medium	Mismatch may create recurring friction
After Marriage	4	How do you resolve fights?	MSQ	Talk;Ignore;Argue;Delay	Low	Mismatch has minor or manageable impact
After Marriage	5	Are finances managed jointly?	MCQ	Yes;Mostly;Rarely;No	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	6	Do you feel appreciated?	MCQ	Always;Often;Sometimes;Never	Medium	Mismatch may create recurring friction
After Marriage	7	How often do you spend quality time?	MCQ	Daily;Weekly;Rarely;Never	Low	Mismatch has minor or manageable impact
After Marriage	8	Do you trust your partner?	MCQ	Fully;Mostly;Partially;No	Low	Mismatch has minor or manageable impact
After Marriage	9	How satisfied are you with communication?	MCQ	High;Medium;Low;None	Medium	Mismatch may create recurring friction
After Marriage	10	Do small issues escalate?	MCQ	Never;Rarely;Often;Always	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	11	How do you handle stress together?	MCQ	Support;Ignore;Fight;Separate	Low	Mismatch has minor or manageable impact
After Marriage	12	Are responsibilities balanced?	MCQ	Yes;Mostly;No;Unequal	Medium	Mismatch may create recurring friction
After Marriage	13	Do you feel respected?	MCQ	Always;Often;Sometimes;Never	Low	Mismatch has minor or manageable impact
After Marriage	14	How often do you argue?	MCQ	Never;Rarely;Often;Daily	Low	Mismatch has minor or manageable impact
After Marriage	15	Do you discuss future goals?	MCQ	Regularly;Sometimes;Rarely;Never	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	16	How satisfied are you with intimacy?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
After Marriage	17	Do you feel emotionally safe?	MCQ	Yes;Mostly;Sometimes;No	Low	Mismatch has minor or manageable impact
After Marriage	18	How do you react to partner’s anger?	MCQ	Calm;Avoid;Fight;Fear	Medium	Mismatch may create recurring friction
After Marriage	19	Are boundaries respected?	MCQ	Yes;Mostly;No;Ignored	Low	Mismatch has minor or manageable impact
After Marriage	20	Do you feel lonely in relationship?	MCQ	Never;Rarely;Often;Always	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	21	How often do you appreciate partner?	MCQ	Daily;Weekly;Rarely;Never	Medium	Mismatch may create recurring friction
After Marriage	22	Do you feel supported?	MCQ	Always;Often;Sometimes;Never	Low	Mismatch has minor or manageable impact
After Marriage	23	How do you handle disagreements?	MSQ	Discuss;Ignore;Fight;Delay	Low	Mismatch has minor or manageable impact
After Marriage	24	Are parenting views aligned?	MCQ	Yes;Mostly;No;Conflict	Medium	Mismatch may create recurring friction
After Marriage	25	Do you feel growth together?	MCQ	Yes;Somewhat;No;Declining	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	26	How often do you laugh together?	MCQ	Daily;Weekly;Rarely;Never	Low	Mismatch has minor or manageable impact
After Marriage	27	Do you feel valued?	MCQ	Always;Often;Sometimes;Never	Medium	Mismatch may create recurring friction
After Marriage	28	How do you deal with stress individually?	MCQ	Healthy;Mixed;Poor;Avoid	Low	Mismatch has minor or manageable impact
After Marriage	29	Do you compare partner with others?	MCQ	Never;Rarely;Often;Always	Low	Mismatch has minor or manageable impact
After Marriage	30	How often do you communicate openly?	MCQ	Always;Often;Sometimes;Never	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	31	Do you feel secure?	MCQ	Yes;Mostly;Sometimes;No	Low	Mismatch has minor or manageable impact
After Marriage	32	How do you resolve financial issues?	MCQ	Discuss;Ignore;Fight;Delay	Low	Mismatch has minor or manageable impact
After Marriage	33	Are goals aligned?	MCQ	Yes;Mostly;No;Opposite	Medium	Mismatch may create recurring friction
After Marriage	34	Do you feel emotionally fulfilled?	MCQ	High;Medium;Low;None	Low	Mismatch has minor or manageable impact
After Marriage	35	How often do you criticize each other?	MCQ	Never;Rarely;Often;Always	High	Critical mismatch can cause long-term conflict or breakup
After Marriage	36	Do you feel partnership or competition?	MCQ	Partnership;Mixed;Competition;Conflict	Medium	Mismatch may create recurring friction
After Marriage	37	How do you handle mistakes?	MCQ	Forgive;Blame;Ignore;Hold	Low	Mismatch has minor or manageable impact
After Marriage	38	Are expectations clear?	MCQ	Yes;Mostly;No;Confusing	Low	Mismatch has minor or manageable impact
After Marriage	39	Do you feel respected in decisions?	MCQ	Always;Often;Sometimes;Never	Medium	Mismatch may create recurring friction
After Marriage	40	How often do you disconnect emotionally?	MCQ	Never;Rarely;Often;Always	High	Critical mismatch can cause long-term conflict or breakup
